model_id,group,item,factor,loading
nativism_study2,1,A23.1,MR1,0.7138078019535686
nativism_study2,1,A23.2,MR1,0.8498481074200123
nativism_study2,1,A23.3,MR1,0.7728173288757647
nativism_study2,2,A23.1,MR1,0.6040802374387068
nativism_study2,2,A23.2,MR1,0.7534014235738127
nativism_study2,2,A23.3,MR1,0.8710885914832286
nativism_study2,3,A23.1,MR1,0.7374660474021498
nativism_study2,3,A23.2,MR1,0.7645256682190935
nativism_study2,3,A23.3,MR1,0.7743257622218399
nativism_study2,4,A23.1,MR1,0.7621736422677777
nativism_study2,4,A23.2,MR1,0.7766361467257333
nativism_study2,4,A23.3,MR1,0.736490052199185
