model_id,group,item,factor,loading
populist_attitudes_study2,1,A20.1,MR1,0.7917892582009406
populist_attitudes_study2,1,A20.2,MR1,0.781698061201088
populist_attitudes_study2,1,A20.3,MR1,0.7752168208227188
populist_attitudes_study2,1,A21.1,MR1,0.6016038232596067
populist_attitudes_study2,1,A21.2*,MR1,0.13650413624261332
populist_attitudes_study2,1,A22.1,MR1,-0.005691018595616198
populist_attitudes_study2,1,A22.2,MR1,0.05617337044028586
populist_attitudes_study2,2,A20.1,MR1,0.9032492786479681
populist_attitudes_study2,2,A20.2,MR1,0.7280197761528651
populist_attitudes_study2,2,A20.3,MR1,0.7238932042755827
populist_attitudes_study2,2,A21.1,MR1,0.5481623321726357
populist_attitudes_study2,2,A21.2*,MR1,0.2192181262716868
populist_attitudes_study2,2,A22.1,MR1,-0.10089605978032748
populist_attitudes_study2,2,A22.2,MR1,0.04859334168106286
populist_attitudes_study2,3,A20.1,MR1,-0.08687486591661002
populist_attitudes_study2,3,A20.2,MR1,0.5449439106806523
populist_attitudes_study2,3,A20.3,MR1,0.10010419356052698
populist_attitudes_study2,3,A21.1,MR1,0.2371298556676308
populist_attitudes_study2,3,A21.2*,MR1,-0.3409610271374645
populist_attitudes_study2,3,A22.1,MR1,0.7866964804567346
populist_attitudes_study2,3,A22.2,MR1,0.7462121275977025
populist_attitudes_study2,4,A20.1,MR1,0.847386072325082
populist_attitudes_study2,4,A20.2,MR1,0.820647995580677
populist_attitudes_study2,4,A20.3,MR1,0.6699476147223821
populist_attitudes_study2,4,A21.1,MR1,0.39901793870663127
populist_attitudes_study2,4,A21.2*,MR1,-0.01779147084672867
populist_attitudes_study2,4,A22.1,MR1,-0.09533647062309362
populist_attitudes_study2,4,A22.2,MR1,0.026569965230877547
