node,strength,domain
Expected harm in the United States,20.25046557517177,Affective and anticipated risk
Expected harm to future generations,14.148562720668265,Affective and anticipated risk
Expected personal harm,13.3704862077385,Affective and anticipated risk
Expected harm to plants and animals,12.564946799765275,Affective and anticipated risk
Discusses global warming with family and friends,10.906562917305193,Climate communication and attention
Worry about global warming,10.33544076095683,Affective and anticipated risk
Perceived scientific consensus,8.948945959848544,Climate belief and attribution
Support transition to 100 percent clean energy by 2050,6.878733685066299,Climate policy and transition support
Priority for clean-energy development,6.622989353998797,Climate policy and transition support
Hears about global warming in the media,6.319425150070196,Climate communication and attention
Support teaching global warming in schools,5.907501024403093,Climate policy and transition support
Support carbon tax with tax reduction,5.873659890703995,Climate policy and transition support
Support regulating carbon dioxide as a pollutant,4.629426112396983,Climate policy and transition support
Global warming is happening,4.178126482338224,Climate belief and attribution
Human causation of global warming,3.573526034532759,Climate belief and attribution
