node,Betweenness,Closeness,Strength,ExpectedInfluence
General ChatGPT use,1,0.006592482822399192,4.677515300301452,4.677515300301452
Provides information efficiently,15,0.007421258698438363,6.475366601394974,6.475366601394974
Provides reliable information,29,0.007853964460472566,7.461029073651917,7.461029073651917
Simplifies complex information,4,0.006784642345411162,5.978006110559888,5.978006110559888
Facilitates classroom learning,3,0.006271600426528568,4.756233900344239,4.756233900344239
International regulation is necessary,9,0.005432928266294845,4.674352691246617,4.674352691246617
University ethical guidelines are necessary,12,0.005512989472141608,4.4009887739916564,4.4009887739916564
May encourage cheating,1,0.006549156856521965,4.579530927923011,4.579530927923011
May mislead with inaccurate information,51,0.007806261585209755,7.096836119160912,7.096836119160912
May invade privacy,4,0.007057935736633724,5.799970837044124,5.799970837044124
May hinder learning by doing work,4,0.005979672909409501,4.919133378241807,4.919133378241807
Satisfied with level of assistance,7,0.007110145570459918,6.418496480915912,6.418496480915912
Satisfied with information quality,21,0.007487110385095134,6.815373820730912,6.815373820730912
Satisfied with information accuracy,22,0.007708215927745931,7.4508175269881525,7.4508175269881525
Use is under my control,2,0.006112414449000597,4.478983295795778,4.478983295795778
Use is interesting,50,0.008053501261154674,6.512516367671717,6.512516367671717
Ability to use is important,44,0.007640234999405345,6.875483205157758,6.875483205157758
Helps in everyday life,3,0.00649842736206369,4.696547909884726,4.696547909884726
Enhances access to knowledge sources,9,0.006617302493494955,5.166383708661897,5.166383708661897
Increases study efficiency,9,0.006495665468299584,5.623728071481698,5.623728071481698
Increases motivation to study,11,0.006707808055115017,6.1161385632126715,6.1161385632126715
Enhances learning experience,7,0.006152694848173951,5.670325286164106,5.670325286164106
Improves skills,10,0.006218951876554917,5.673350036041909,5.673350036041909
Will reduce the number of jobs,7,0.0058254016444819244,4.212673822149068,4.212673822149068
Will increase demand for AI skills,14,0.006263345712421896,4.920525732564669,4.920525732564669
Hopeful when using ChatGPT,11,0.005700231261174419,4.3978870929871565,4.3978870929871565
Calm when using ChatGPT,1,0.005250903714646721,4.0170304548864175,4.0170304548864175
Anxious when using ChatGPT,0,0.005028117391054874,4.097554396064892,4.097554396064892
Curious when using ChatGPT,26,0.00670158007157033,5.062035018058484,5.062035018058484
Excited when using ChatGPT,15,0.006088182994034201,5.114517942544006,5.114517942544006
