from,to,weight,abs_weight,sign
Satisfied with information quality,Satisfied with information accuracy,1.5857362471302812,1.5857362471302812,positive
Provides information efficiently,Provides reliable information,1.4412947418861548,1.4412947418861548,positive
Satisfied with level of assistance,Satisfied with information quality,1.375593740719423,1.375593740719423,positive
Enhances learning experience,Improves skills,1.243126724815137,1.243126724815137,positive
Increases study efficiency,Increases motivation to study,1.0574028726678812,1.0574028726678812,positive
International regulation is necessary,University ethical guidelines are necessary,1.0053453934657761,1.0053453934657761,positive
May mislead with inaccurate information,May invade privacy,0.9653997053338448,0.9653997053338448,positive
Use is interesting,Ability to use is important,0.8457327957476242,0.8457327957476242,positive
May encourage cheating,May mislead with inaccurate information,0.7784671861595484,0.7784671861595484,positive
Will reduce the number of jobs,Will increase demand for AI skills,0.7740612143814027,0.7740612143814027,positive
General ChatGPT use,Ability to use is important,0.7711427871793117,0.7711427871793117,positive
Ability to use is important,Helps in everyday life,0.7632570298609778,0.7632570298609778,positive
Curious when using ChatGPT,Excited when using ChatGPT,0.7450132992453535,0.7450132992453535,positive
Provides reliable information,Satisfied with information accuracy,0.7144501510625445,0.7144501510625445,positive
May encourage cheating,May hinder learning by doing work,0.6996148651779485,0.6996148651779485,positive
Provides reliable information,May mislead with inaccurate information,0.6928448260342429,0.6928448260342429,positive
Provides reliable information,Simplifies complex information,0.6487717863595652,0.6487717863595652,positive
Simplifies complex information,Facilitates classroom learning,0.5909410399736932,0.5909410399736932,positive
Hopeful when using ChatGPT,Excited when using ChatGPT,0.5850833786132605,0.5850833786132605,positive
Provides information efficiently,Simplifies complex information,0.579942513058934,0.579942513058934,positive
May mislead with inaccurate information,Satisfied with information accuracy,0.5704224980327988,0.5704224980327988,positive
Enhances access to knowledge sources,Increases study efficiency,0.5558069375409243,0.5558069375409243,positive
Hopeful when using ChatGPT,Calm when using ChatGPT,0.5312992012314,0.5312992012314,positive
Satisfied with level of assistance,Satisfied with information accuracy,0.521840145777987,0.521840145777987,positive
Use is under my control,Use is interesting,0.5055241759641913,0.5055241759641913,positive
Increases motivation to study,Enhances learning experience,0.4907209398322974,0.4907209398322974,positive
Increases study efficiency,Enhances learning experience,0.482004055277377,0.482004055277377,positive
May invade privacy,May hinder learning by doing work,0.4562665178561536,0.4562665178561536,positive
