node,observed_levels,n_levels
Q15,"1,2,3,4,5",5
Q19d,"1,2,3,4,5",5
Q19e,"1,2,3,4,5",5
Q19g,"1,2,3,4,5",5
Q19h,"1,2,3,4,5",5
Q21a,"1,2,3,4,5",5
Q21c,"1,2,3,4,5",5
Q22b,"1,2,3,4,5",5
Q22e,"1,2,3,4,5",5
Q22f,"1,2,3,4,5",5
Q22j,"1,2,3,4,5",5
Q24e,"1,2,3,4,5",5
Q24f,"1,2,3,4,5",5
Q24g,"1,2,3,4,5",5
Q25a,"1,2,3,4,5",5
Q25b,"1,2,3,4,5",5
Q25c,"1,2,3,4,5",5
Q25d,"1,2,3,4,5",5
Q26a,"1,2,3,4,5",5
Q26e,"1,2,3,4,5",5
Q26f,"1,2,3,4,5",5
Q27e,"1,2,3,4,5",5
Q27f,"1,2,3,4,5",5
Q30a,"1,2,3,4,5",5
Q30e,"1,2,3,4,5",5
Q32b,"1,2,3,4,5",5
Q32e,"1,2,3,4,5",5
Q32j,"1,2,3,4,5",5
Q32l,"1,2,3,4,5",5
Q32m,"1,2,3,4,5",5
