model_id,group,item,factor,loading
satisfaction_q24,Chile,Q24a,MR1,0.5759893440745645
satisfaction_q24,Chile,Q24b,MR1,0.5717809746689523
satisfaction_q24,Chile,Q24c,MR1,0.49995742863530124
satisfaction_q24,Chile,Q24d,MR1,0.6673816983036854
satisfaction_q24,Chile,Q24e,MR1,0.7178325991414105
satisfaction_q24,Chile,Q24f,MR1,0.751870142993347
satisfaction_q24,Chile,Q24g,MR1,0.712572237452963
satisfaction_q24,Ecuador,Q24a,MR1,0.6467366413220713
satisfaction_q24,Ecuador,Q24b,MR1,0.6555693839002152
satisfaction_q24,Ecuador,Q24c,MR1,0.5494308978750085
satisfaction_q24,Ecuador,Q24d,MR1,0.6879246378505002
satisfaction_q24,Ecuador,Q24e,MR1,0.7356379661820756
satisfaction_q24,Ecuador,Q24f,MR1,0.7793239144094825
satisfaction_q24,Ecuador,Q24g,MR1,0.71869818049018
satisfaction_q24,Egypt,Q24a,MR1,0.2978472064190119
satisfaction_q24,Egypt,Q24b,MR1,0.6094086290713497
satisfaction_q24,Egypt,Q24c,MR1,0.6480244382142271
satisfaction_q24,Egypt,Q24d,MR1,0.5769673211498288
satisfaction_q24,Egypt,Q24e,MR1,0.7027020312889567
satisfaction_q24,Egypt,Q24f,MR1,0.7654746120412305
satisfaction_q24,Egypt,Q24g,MR1,0.6938587934972256
satisfaction_q24,Italy,Q24a,MR1,0.6072795970463888
satisfaction_q24,Italy,Q24b,MR1,0.5218982980169289
satisfaction_q24,Italy,Q24c,MR1,0.509655641915601
satisfaction_q24,Italy,Q24d,MR1,0.6109031473702602
satisfaction_q24,Italy,Q24e,MR1,0.6909335355738493
satisfaction_q24,Italy,Q24f,MR1,0.7788762523092257
satisfaction_q24,Italy,Q24g,MR1,0.712312992094074
satisfaction_q24,Mexico,Q24a,MR1,0.6532854570262371
satisfaction_q24,Mexico,Q24b,MR1,0.6308868654563431
satisfaction_q24,Mexico,Q24c,MR1,0.5354543927110683
satisfaction_q24,Mexico,Q24d,MR1,0.7343770188201889
satisfaction_q24,Mexico,Q24e,MR1,0.7636551476188667
satisfaction_q24,Mexico,Q24f,MR1,0.8049506891056881
satisfaction_q24,Mexico,Q24g,MR1,0.7526543141652495
satisfaction_q24,Romania,Q24a,MR1,0.6209501646787727
satisfaction_q24,Romania,Q24b,MR1,0.6113812204175094
satisfaction_q24,Romania,Q24c,MR1,0.43748877145922
satisfaction_q24,Romania,Q24d,MR1,0.6612724452258583
satisfaction_q24,Romania,Q24e,MR1,0.7451708854429026
satisfaction_q24,Romania,Q24f,MR1,0.788599489668397
satisfaction_q24,Romania,Q24g,MR1,0.723565611375039
satisfaction_q24,Spain,Q24a,MR1,0.6272907384518405
satisfaction_q24,Spain,Q24b,MR1,0.49705535475377305
satisfaction_q24,Spain,Q24c,MR1,0.29015299311711945
satisfaction_q24,Spain,Q24d,MR1,0.6157513537427521
satisfaction_q24,Spain,Q24e,MR1,0.7477127440683348
satisfaction_q24,Spain,Q24f,MR1,0.7867085244469726
satisfaction_q24,Spain,Q24g,MR1,0.6892602678330462
satisfaction_q24,Tanzania,Q24a,MR1,0.5818719216112225
satisfaction_q24,Tanzania,Q24b,MR1,0.5982917297670889
satisfaction_q24,Tanzania,Q24c,MR1,0.5816525426349762
satisfaction_q24,Tanzania,Q24d,MR1,0.569405688206923
satisfaction_q24,Tanzania,Q24e,MR1,0.8032299530842851
satisfaction_q24,Tanzania,Q24f,MR1,0.8132408397847589
satisfaction_q24,Tanzania,Q24g,MR1,0.7922439638480016
