node,Betweenness,Closeness,Strength,ExpectedInfluence
General ChatGPT use,13,0.014791984361094988,4.229847992185794,4.229847992185794
Use for academic writing,4,0.014233799122737045,3.484849092785439,3.484849092785439
Use for coding,0,0.012291605194538627,2.4161056960157223,2.4161056960157223
Efficient information,9,0.015296590735799136,3.95073987371156,3.95073987371156
Simplifies complex information,4,0.01463129702297212,3.5011477712021275,3.5011477712021275
University ethical guidance,0,0.01159805332298107,2.4389580378979714,2.4389580378979714
Inaccurate-information risk,9,0.01603360517561712,4.2043569907508855,4.2043569907508855
Privacy risk,3,0.014978636733739049,3.386562070029744,3.386562070029744
Satisfaction with information quality,15,0.018061732279445575,3.9269642934903914,3.9269642934903914
ChatGPT is interesting,17,0.01825737073903835,4.124727592534962,4.124727592534962
Expected study efficiency,1,0.014328408738586526,3.7153883527445335,3.7153883527445335
Expected study completion,5,0.015221925564060108,3.788163509018026,3.788163509018026
Hopeful while using ChatGPT,5,0.012948629814061637,2.7966110307642524,2.7966110307642524
Anxious while using ChatGPT,2,0.012600788306374407,3.1385352326873406,3.1385352326873406
Confused while using ChatGPT,0,0.011961252869136152,2.9883778821544467,2.9883778821544467
Frustrated while using ChatGPT,10,0.013225981190655907,3.4440145195797705,3.4440145195797705
