from,to,weight,abs_weight,sign
Inaccurate-information risk,Privacy risk,1.1924723694334678,1.1924723694334678,positive
Efficient information,Simplifies complex information,1.1184593488348948,1.1184593488348948,positive
General ChatGPT use,Use for academic writing,1.0785135719680488,1.0785135719680488,positive
Expected study efficiency,Expected study completion,1.0143854208930259,1.0143854208930259,positive
Confused while using ChatGPT,Frustrated while using ChatGPT,0.8622628076601417,0.8622628076601417,positive
Efficient information,Satisfaction with information quality,0.7629208062296358,0.7629208062296358,positive
Anxious while using ChatGPT,Frustrated while using ChatGPT,0.6858658394433014,0.6858658394433014,positive
General ChatGPT use,Use for coding,0.6178834896337722,0.6178834896337722,positive
Satisfaction with information quality,ChatGPT is interesting,0.5740745999152732,0.5740745999152732,positive
ChatGPT is interesting,Expected study efficiency,0.5022727079106074,0.5022727079106074,positive
Inaccurate-information risk,Satisfaction with information quality,0.4640049229471138,0.4640049229471138,positive
General ChatGPT use,ChatGPT is interesting,0.42526487504641214,0.42526487504641214,positive
Anxious while using ChatGPT,Confused while using ChatGPT,0.4208733866976867,0.4208733866976867,positive
Inaccurate-information risk,ChatGPT is interesting,0.4134109398623874,0.4134109398623874,positive
Hopeful while using ChatGPT,Anxious while using ChatGPT,0.3603882717832397,0.3603882717832397,positive
University ethical guidance,Privacy risk,0.35211610691402695,0.35211610691402695,positive
Simplifies complex information,Expected study completion,0.3494007188240119,0.3494007188240119,positive
Efficient information,University ethical guidance,0.34350216465964745,0.34350216465964745,positive
Satisfaction with information quality,Expected study completion,0.3187293772590895,0.3187293772590895,positive
General ChatGPT use,Expected study completion,0.3101320159084008,0.3101320159084008,positive
Hopeful while using ChatGPT,Confused while using ChatGPT,0.3032664604765998,0.3032664604765998,positive
Use for academic writing,Hopeful while using ChatGPT,0.2957038490462269,0.2957038490462269,positive
Use for academic writing,Expected study completion,0.2909753612211035,0.2909753612211035,positive
Privacy risk,ChatGPT is interesting,0.28261762104782673,0.28261762104782673,positive
Satisfaction with information quality,Frustrated while using ChatGPT,0.28102897725309434,0.28102897725309434,positive
Expected study completion,Hopeful while using ChatGPT,0.2765301667213153,0.2765301667213153,positive
Simplifies complex information,Inaccurate-information risk,0.2562212571210295,0.2562212571210295,positive
Efficient information,Expected study efficiency,0.25603528156441047,0.25603528156441047,positive
Satisfaction with information quality,Expected study efficiency,0.24896873665109168,0.24896873665109168,positive
University ethical guidance,ChatGPT is interesting,0.24252774212652367,0.24252774212652367,positive
General ChatGPT use,Expected study efficiency,0.23832604480232406,0.23832604480232406,positive
ChatGPT is interesting,Expected study completion,0.23795972761061993,0.23795972761061993,positive
Use for academic writing,ChatGPT is interesting,0.23489365243686094,0.23489365243686094,positive
General ChatGPT use,Privacy risk,0.23365986158182356,0.23365986158182356,positive
Use for academic writing,Use for coding,0.23253662922890678,0.23253662922890678,positive
Inaccurate-information risk,Anxious while using ChatGPT,0.23053634051769412,0.23053634051769412,positive
Inaccurate-information risk,Frustrated while using ChatGPT,0.23039166582476261,0.23039166582476261,positive
Inaccurate-information risk,Confused while using ChatGPT,0.22799905181655422,0.22799905181655422,positive
Use for academic writing,Simplifies complex information,0.22065463230329585,0.22065463230329585,positive
ChatGPT is interesting,Frustrated while using ChatGPT,0.21759959323786585,0.21759959323786585,positive
Use for coding,Expected study efficiency,0.21619283623162716,0.21619283623162716,positive
Privacy risk,Anxious while using ChatGPT,0.21145858584137267,0.21145858584137267,positive
Privacy risk,Expected study completion,0.2042566534720903,0.2042566534720903,positive
Simplifies complex information,Expected study efficiency,0.20295825108211724,0.20295825108211724,positive
Efficient information,ChatGPT is interesting,0.20158650856190408,0.20158650856190408,positive
Efficient information,Inaccurate-information risk,0.19692977105756024,0.19692977105756024,positive
Expected study efficiency,Hopeful while using ChatGPT,0.18875990023823636,0.18875990023823636,positive
General ChatGPT use,Satisfaction with information quality,0.18564649652436663,0.18564649652436663,positive
ChatGPT is interesting,Anxious while using ChatGPT,0.18527257379366996,0.18527257379366996,positive
Use for academic writing,Anxious while using ChatGPT,0.18449292153027183,0.18449292153027183,positive
