source_variable,label,missing_n,missing_percent,unique_values
Q15,General ChatGPT use,85,0.531,5
Q18a,Use for academic writing,91,0.568,5
Q18l,Use for coding,106,0.662,5
Q19d,Efficient information,721,4.503,5
Q19g,Simplifies complex information,735,4.591,5
Q21c,University ethical guidance,1531,9.563,5
Q22e,Inaccurate-information risk,1540,9.619,5
Q22f,Privacy risk,1546,9.656,5
Q24f,Satisfaction with information quality,2112,13.192,5
Q25b,ChatGPT is interesting,2115,13.21,5
Q26e,Expected study efficiency,2625,16.396,5
Q26g,Expected study completion,2634,16.452,5
Q32b,Hopeful while using ChatGPT,3552,22.186,5
Q32j,Anxious while using ChatGPT,3566,22.274,5
Q32n,Confused while using ChatGPT,3561,22.242,5
Q32o,Frustrated while using ChatGPT,3552,22.186,5
