from,to,weight,abs_weight,sign
Q24f,Q24g,1.5639538036024674,1.5639538036024674,positive
Q19d,Q19e,1.4983350732474217,1.4983350732474217,positive
Q24e,Q24f,1.3160305670356323,1.3160305670356323,positive
Q26e,Q26f,0.9946485508464384,0.9946485508464384,positive
Q22e,Q22f,0.9489523328363251,0.9489523328363251,positive
Q15,Q18a,0.9464181486163402,0.9464181486163402,positive
Q25b,Q25c,0.8863093059497125,0.8863093059497125,positive
Q32b,Q32h,0.8652747418410827,0.8652747418410827,positive
Q32n,Q32o,0.8514048186807884,0.8514048186807884,positive
Q19e,Q19g,0.8188699560577077,0.8188699560577077,positive
Q26f,Q26g,0.8127557560601021,0.8127557560601021,positive
Q22b,Q22e,0.7719528693029659,0.7719528693029659,positive
Q25c,Q25d,0.7675897930558351,0.7675897930558351,positive
Q22b,Q22j,0.7185493162858443,0.7185493162858443,positive
Q19e,Q22e,0.700222789462484,0.700222789462484,positive
Q19d,Q19g,0.690512597376669,0.690512597376669,positive
Q32j,Q32o,0.6885043141536367,0.6885043141536367,positive
Q19e,Q24g,0.6302859424523718,0.6302859424523718,positive
Q15,Q25c,0.5627639013755161,0.5627639013755161,positive
Q18a,Q18k,0.562565104159394,0.562565104159394,positive
Q22e,Q24g,0.5456089729562215,0.5456089729562215,positive
Q25a,Q25b,0.5227626375903565,0.5227626375903565,positive
Q26g,Q26j,0.5199561485618535,0.5199561485618535,positive
Q24e,Q24g,0.4930993337363363,0.4930993337363363,positive
Q22f,Q22j,0.4886411818990282,0.4886411818990282,positive
Q15,Q18l,0.4868600916302369,0.4868600916302369,positive
Q25b,Q32l,0.4658416082104191,0.4658416082104191,positive
Q22e,Q25b,0.4648326003994361,0.4648326003994361,positive
Q32h,Q32l,0.4639286043546682,0.4639286043546682,positive
Q26e,Q26g,0.4402627307864565,0.4402627307864565,positive
Q26e,Q26j,0.42740726636375237,0.42740726636375237,positive
Q18i,Q18l,0.4154946347335493,0.4154946347335493,positive
Q32l,Q32n,0.40877956690965644,0.40877956690965644,positive
Q32j,Q32n,0.39325637969301314,0.39325637969301314,positive
Q18i,Q18k,0.39167674679123027,0.39167674679123027,positive
Q19e,Q24e,0.3817836036382774,0.3817836036382774,positive
Q15,Q18i,0.3798552606142559,0.3798552606142559,positive
Q19e,Q24f,0.379697731705377,0.379697731705377,positive
Q22e,Q22j,0.37946945381501146,0.37946945381501146,positive
Q19d,Q24f,0.3794229799242255,0.3794229799242255,positive
Q18a,Q25b,0.37782282600449224,0.37782282600449224,positive
Q26f,Q26j,0.3735473328413096,0.3735473328413096,positive
Q24a,Q24e,0.37329178709494415,0.37329178709494415,positive
Q22b,Q22f,0.37213983267491546,0.37213983267491546,positive
Q25b,Q25d,0.3496222767427787,0.3496222767427787,positive
Q19g,Q22e,0.34696861975630594,0.34696861975630594,positive
Q21c,Q22b,0.3333053302011288,0.3333053302011288,positive
Q19g,Q26g,0.32729040090075445,0.32729040090075445,positive
Q18a,Q26j,0.32330881013590035,0.32330881013590035,positive
Q15,Q18k,0.3167019025971036,0.3167019025971036,positive
Q24e,Q25b,0.3103468647779327,0.3103468647779327,positive
Q19d,Q21c,0.3049416710556184,0.3049416710556184,positive
Q15,Q24g,0.29627351956788245,0.29627351956788245,positive
Q32h,Q32j,0.29250484775078933,0.29250484775078933,positive
Q18a,Q25c,0.2909137790828542,0.2909137790828542,positive
Q19d,Q24e,0.2868399057542321,0.2868399057542321,positive
Q15,Q24e,0.28204364174429175,0.28204364174429175,positive
Q22f,Q25b,0.2806037911719463,0.2806037911719463,positive
Q19d,Q24g,0.2728435255829143,0.2728435255829143,positive
Q25b,Q26e,0.27094949707770605,0.27094949707770605,positive
Q26f,Q32h,0.2682370501540778,0.2682370501540778,positive
Q25a,Q25c,0.26784230648151836,0.26784230648151836,positive
Q24g,Q26j,0.26255004019838474,0.26255004019838474,positive
Q25c,Q32b,0.2607725243035661,0.2607725243035661,positive
Q22e,Q24e,0.2593451768072046,0.2593451768072046,positive
Q21c,Q22j,0.2585744453237547,0.2585744453237547,positive
Q18k,Q18l,0.2565427533001543,0.2565427533001543,positive
Q22f,Q25c,0.256066741271823,0.256066741271823,positive
Q25d,Q26g,0.2557404445434063,0.2557404445434063,positive
Q32j,Q32l,0.255223884392745,0.255223884392745,positive
Q24a,Q24g,0.25403063839303647,0.25403063839303647,positive
Q19e,Q26e,0.2523047320989663,0.2523047320989663,positive
Q32b,Q32l,0.2522374943050566,0.2522374943050566,positive
Q19d,Q25c,0.24800241831048142,0.24800241831048142,positive
Q25b,Q32o,0.24739310906747494,0.24739310906747494,positive
Q19g,Q24e,0.2444961614159707,0.2444961614159707,positive
Q25d,Q26e,0.24042578512015755,0.24042578512015755,positive
Q22e,Q25a,0.23920927175279005,0.23920927175279005,positive
Q25c,Q26f,0.23657381320236665,0.23657381320236665,positive
Q15,Q25b,0.2290175105693819,0.2290175105693819,positive
Q32b,Q32j,0.22837813347212313,0.22837813347212313,positive
Q21c,Q25b,0.22741108639681526,0.22741108639681526,positive
Q15,Q22e,0.22731269646440952,0.22731269646440952,positive
Q32h,Q32n,0.22352790131952519,0.22352790131952519,positive
