node_number,source_variable,label,domain,node_type,levels
1,Q15,Q15,Beliefs,ordinal,5
2,Q18a,Q18a,Beliefs,ordinal,5
3,Q18i,Q18i,Beliefs,ordinal,5
4,Q18k,Q18k,Beliefs,ordinal,5
5,Q18l,Q18l,Beliefs,ordinal,5
6,Q19d,Q19d,Beliefs,ordinal,5
7,Q19e,Q19e,Beliefs,ordinal,5
8,Q19g,Q19g,Beliefs,ordinal,5
9,Q21c,Q21c,Beliefs,ordinal,5
10,Q22b,Q22b,Beliefs,ordinal,5
11,Q22e,Q22e,Beliefs,ordinal,5
12,Q22f,Q22f,Beliefs,ordinal,5
13,Q22j,Q22j,Beliefs,ordinal,5
14,Q24a,Q24a,Beliefs,ordinal,5
15,Q24e,Q24e,Beliefs,ordinal,5
16,Q24f,Q24f,Beliefs,ordinal,5
17,Q24g,Q24g,Beliefs,ordinal,5
18,Q25a,Q25a,Beliefs,ordinal,5
19,Q25b,Q25b,Beliefs,ordinal,5
20,Q25c,Q25c,Beliefs,ordinal,5
21,Q25d,Q25d,Beliefs,ordinal,5
22,Q26e,Q26e,Beliefs,ordinal,5
23,Q26f,Q26f,Beliefs,ordinal,5
24,Q26g,Q26g,Beliefs,ordinal,5
25,Q26j,Q26j,Beliefs,ordinal,5
26,Q32b,Q32b,Beliefs,ordinal,5
27,Q32h,Q32h,Beliefs,ordinal,5
28,Q32j,Q32j,Beliefs,ordinal,5
29,Q32l,Q32l,Beliefs,ordinal,5
30,Q32n,Q32n,Beliefs,ordinal,5
31,Q32o,Q32o,Beliefs,ordinal,5
