node_1,node_2,coassignment
Experienced drought,Experienced extended extreme heat,1
Experienced drought,Experienced severe flooding,0.98
Experienced extended extreme heat,Experienced severe flooding,0.98
Experienced drought,Experienced wildfire,0.96
Experienced extended extreme heat,Experienced wildfire,0.96
Experienced severe flooding,Experienced wildfire,0.98
Experienced drought,Worry about local extreme weather,0.72
Experienced extended extreme heat,Worry about local extreme weather,0.72
Experienced severe flooding,Worry about local extreme weather,0.72
Experienced wildfire,Worry about local extreme weather,0.74
Experienced drought,Concern about ability to pay energy bills,0
Experienced extended extreme heat,Concern about ability to pay energy bills,0
Experienced severe flooding,Concern about ability to pay energy bills,0
Experienced wildfire,Concern about ability to pay energy bills,0
Worry about local extreme weather,Concern about ability to pay energy bills,0.02
Experienced drought,Concern about increased transport costs,0
Experienced extended extreme heat,Concern about increased transport costs,0
Experienced severe flooding,Concern about increased transport costs,0
Experienced wildfire,Concern about increased transport costs,0
Worry about local extreme weather,Concern about increased transport costs,0.02
Concern about ability to pay energy bills,Concern about increased transport costs,1
Experienced drought,Confidence in fair climate-policy outcomes,0
Experienced extended extreme heat,Confidence in fair climate-policy outcomes,0
Experienced severe flooding,Confidence in fair climate-policy outcomes,0
Experienced wildfire,Confidence in fair climate-policy outcomes,0
Worry about local extreme weather,Confidence in fair climate-policy outcomes,0.02
Concern about ability to pay energy bills,Confidence in fair climate-policy outcomes,0.94
Concern about increased transport costs,Confidence in fair climate-policy outcomes,0.94
Experienced drought,Confidence policies consider everyone views,0
Experienced extended extreme heat,Confidence policies consider everyone views,0
Experienced severe flooding,Confidence policies consider everyone views,0
Experienced wildfire,Confidence policies consider everyone views,0
Worry about local extreme weather,Confidence policies consider everyone views,0.02
Concern about ability to pay energy bills,Confidence policies consider everyone views,0.94
Concern about increased transport costs,Confidence policies consider everyone views,0.94
Confidence in fair climate-policy outcomes,Confidence policies consider everyone views,1
Experienced drought,Energy-efficient appliance choice,0
Experienced extended extreme heat,Energy-efficient appliance choice,0
Experienced severe flooding,Energy-efficient appliance choice,0
Experienced wildfire,Energy-efficient appliance choice,0
Worry about local extreme weather,Energy-efficient appliance choice,0.02
Concern about ability to pay energy bills,Energy-efficient appliance choice,0.94
Concern about increased transport costs,Energy-efficient appliance choice,0.94
Confidence in fair climate-policy outcomes,Energy-efficient appliance choice,0.9
Confidence policies consider everyone views,Energy-efficient appliance choice,0.9
Experienced drought,Familiarity with national climate policies,0
Experienced extended extreme heat,Familiarity with national climate policies,0
Experienced severe flooding,Familiarity with national climate policies,0
Experienced wildfire,Familiarity with national climate policies,0
Worry about local extreme weather,Familiarity with national climate policies,0.02
Concern about ability to pay energy bills,Familiarity with national climate policies,0.94
Concern about increased transport costs,Familiarity with national climate policies,0.94
Confidence in fair climate-policy outcomes,Familiarity with national climate policies,0.9
Confidence policies consider everyone views,Familiarity with national climate policies,0.9
