node,Betweenness,Closeness,Strength,ExpectedInfluence
Local air-pollution concern,14,0.012847073825959048,4.028532810428622,4.028532810428622
Public-transport use,0,0.006935849386023429,1.8610084366365973,1.8610084366365973
Energy-efficient appliance choice,0,0.009370442961796102,3.0721354249851256,3.0721354249851256
Climate-change worry,77,0.014853936937820316,6.338845288828809,6.338845288828809
Personal responsibility to reduce climate change,0,0.012561887242097104,3.9340607650199204,3.9340607650199204
Worry about local extreme weather,68,0.013990469276247287,5.327986219511129,5.327986219511129
Experienced severe flooding,1,0.010041757829900655,1.8269825213846602,1.8269825213846602
Experienced drought,0,0.008696372582770905,1.9465278078052908,1.9465278078052908
Experienced wildfire,1,0.00886046984933641,1.9417421982698806,1.9417421982698806
Experienced heavy storm,0,0.007875237464025691,1.1523804862737135,1.1523804862737135
Experienced extended extreme heat,0,0.00917235258010782,1.7786714109072166,1.7786714109072166
Trust in government to address climate change,18,0.011123654281876385,4.403552529638515,4.403552529638515
Government preparedness for extreme weather,0,0.009617478793801135,3.7691933435145426,3.7691933435145426
Environment versus economic-growth priority,8,0.010792795032695524,2.456881446901181,2.456881446901181
Familiarity with national climate policies,8,0.010355573739204456,3.5801638709601895,3.5801638709601895
Confidence policies consider everyone views,9,0.010702230123433326,5.072353202610384,5.072353202610384
Confidence in fair climate-policy outcomes,15,0.010813820158342162,4.994594870812133,4.994594870812133
Concern about ability to pay energy bills,9,0.010762772645815422,4.424756816832384,4.424756816832384
Concern about increased transport costs,5,0.010339694011098697,3.9327464453205065,3.9327464453205065
Concern about future job loss,11,0.011247771667947614,4.241075185634434,4.241075185634434
Participated in an environmental-protection organisation,0,0.007919026296248858,1.3023183374758485,1.3023183374758485
