network_a,network_b,completed,structure_invariance_statistic,structure_invariance_p,global_strength_difference,global_strength_p,edge_invariance_p,structure_p_bonferroni,structure_p_fdr,global_strength_p_bonferroni,global_strength_p_fdr
AT,CZ,TRUE,0.19801147075304137,0.00398406374501992,1.3758735151848729,0.07569721115537849,1,0.21912350597609562,0.027390438247011952,1,0.36520584329349265
AT,HU,TRUE,0.19345998149044874,0.01593625498007968,1.7841764326305398,0.3705179282868526,1,0.8764940239043825,0.043824701195219126,1,0.6792828685258964
AT,PL,TRUE,0.1525594010912387,0.11952191235059761,1.8846768143663848,0.09561752988047809,1,1,0.1460823373173971,1,0.36520584329349265
AT,PT,TRUE,0.19135103135345033,0.01593625498007968,2.6668978734584736,0.04780876494023904,1,0.8764940239043825,0.043824701195219126,1,0.36520584329349265
BE,AT,TRUE,0.1318349027156545,0.22709163346613545,0.40580913990223255,0.6772908366533864,1,1,0.23566112906863113,1,0.7760624169986718
BE,CZ,TRUE,0.16712849830550536,0.027888446215139442,0.9700643752826403,0.23107569721115537,1,1,0.0547808764940239,1,0.5983757278577997
BE,FR,TRUE,0.12515238679006452,0.29880478087649404,0.50142397800012,0.549800796812749,1,1,0.3043382027445773,1,0.7760624169986718
BE,HU,TRUE,0.20071433677925266,0.027888446215139442,1.3783672927283073,0.27091633466135456,1,1,0.0547808764940239,1,0.5983757278577997
BE,IS,TRUE,0.2072694618937776,0.00398406374501992,0.3435166622328234,0.6613545816733067,1,0.21912350597609562,0.027390438247011952,1,0.7760624169986718
BE,PL,TRUE,0.1876290116990418,0.06374501992031872,1.4788676744641522,0.33067729083665337,1,1,0.09475611069236567,1,0.6495446784291405
BE,PT,TRUE,0.16622993378694412,0.04780876494023904,2.261088733556241,0.027888446215139442,1,1,0.07512805919180421,1,0.36520584329349265
BE,SI,TRUE,0.12256661473512465,0.22709163346613545,0.9048108755576658,0.16334661354581673,1,1,0.23566112906863113,1,0.5284743379423482
CZ,HU,TRUE,0.20901639226085456,0.01195219123505976,0.40830291744566694,0.6733067729083665,1,0.6573705179282868,0.03866885399578158,1,0.7760624169986718
CZ,PL,TRUE,0.2081547525417174,0.02390438247011952,0.5088032991815119,0.5697211155378487,1,1,0.0547808764940239,1,0.7760624169986718
CZ,PT,TRUE,0.2081547525417174,0.00398406374501992,1.2910243582736007,0.18326693227091634,1,0.21912350597609562,0.027390438247011952,1,0.5535751729922416
FI,AT,TRUE,0.17395330762962108,0.00796812749003984,0.5371467424942296,0.601593625498008,1,0.43824701195219123,0.036520584329349265,1,0.7760624169986718
FI,BE,TRUE,0.14949463052227804,0.04780876494023904,0.131337602591997,0.852589641434263,1,1,0.07512805919180421,1,0.9017775053631628
FI,CZ,TRUE,0.21914287586351597,0.00796812749003984,0.8387267726906433,0.5697211155378487,1,0.43824701195219123,0.036520584329349265,1,0.7760624169986718
FI,FR,TRUE,0.16688091354500398,0.0796812749003984,0.632761580592117,0.5099601593625498,1,1,0.10956175298804781,1,0.7760624169986718
FI,GB,TRUE,0.16484286087658365,0.0398406374501992,0.3164292718326953,0.6254980079681275,1,1,0.06640106241699867,1,0.7760624169986718
FI,HU,TRUE,0.18742250482749426,0.01195219123505976,1.2470296901363103,0.5697211155378487,1,0.6573705179282868,0.03866885399578158,1,0.7760624169986718
FI,IS,TRUE,0.15294150461471703,0.035856573705179286,0.2121790596408264,0.8127490039840638,1,1,0.0616284860557769,1,0.8850871025701117
FI,PL,TRUE,0.20485564824661473,0.03187250996015936,1.3475300718721552,0.6454183266932271,1,1,0.05843293492695883,1,0.7760624169986718
FI,PT,TRUE,0.16622993378694412,0.10358565737051793,2.129751130964244,0.46613545816733065,1,1,0.1324932826832206,1,0.7760624169986718
FI,SI,TRUE,0.1953546756045523,0.00796812749003984,0.7734732729656688,0.33067729083665337,1,0.43824701195219123,0.036520584329349265,1,0.6495446784291405
FR,AT,TRUE,0.17395330762962108,0.027888446215139442,0.0956148380978874,0.9043824701195219,1,1,0.0547808764940239,1,0.9211302936402539
FR,CZ,TRUE,0.19893258345391343,0.00398406374501992,1.4714883532827603,0.06772908366533864,1,0.21912350597609562,0.027390438247011952,1,0.36520584329349265
FR,HU,TRUE,0.19697003705032257,0.027888446215139442,1.8797912707284272,0.0796812749003984,1,1,0.0547808764940239,1,0.36520584329349265
FR,PL,TRUE,0.20485564824661473,0.06374501992031872,1.9802916524642722,0.01593625498007968,1,1,0.09475611069236567,0.8764940239043825,0.2921646746347941
FR,PT,TRUE,0.16106895822157602,0.06772908366533864,2.762512711556361,0.00398406374501992,1,1,0.09802893688404277,0.21912350597609562,0.10956175298804781
GB,AT,TRUE,0.13021037754142142,0.21912350597609562,0.22071747066153424,0.8207171314741036,1,1,0.23566112906863113,1,0.8850871025701117
GB,BE,TRUE,0.16484286087658365,0.07569721115537849,0.1850916692406983,0.7609561752988048,1,1,0.10675247727040557,1,0.8541344824782502
GB,CZ,TRUE,0.17688496440423268,0.0199203187250996,1.1551560445233386,0.07569721115537849,1,1,0.04763554477741209,1,0.36520584329349265
GB,FR,TRUE,0.1362538910671448,0.199203187250996,0.31633230875942164,0.6175298804780877,1,1,0.22350597609561756,1,0.7760624169986718
GB,HU,TRUE,0.20300533423566297,0.01195219123505976,1.5634589619690056,0.19123505976095617,1,0.6573705179282868,0.03866885399578158,1,0.5535751729922416
GB,IS,TRUE,0.16459628866618736,0.09163346613545817,0.5286083314735217,0.4860557768924303,1,1,0.11999620565357617,1,0.7760624169986718
GB,PL,TRUE,0.16459628866618736,0.1952191235059761,1.6639593437048505,0.035856573705179286,1,1,0.22350597609561756,1,0.36520584329349265
GB,PT,TRUE,0.20300533423566297,0.0199203187250996,2.4461804027969394,0.00398406374501992,1,1,0.04763554477741209,0.21912350597609562,0.10956175298804781
GB,SI,TRUE,0.16355837900143455,0.01593625498007968,1.0899025447983641,0.08764940239043825,1,0.8764940239043825,0.043824701195219126,1,0.36520584329349265
HU,PL,TRUE,0.28252044468504395,0.00398406374501992,0.10050038173584497,0.900398406374502,1,0.21912350597609562,0.027390438247011952,1,0.9211302936402539
HU,PT,TRUE,0.19697003705032257,0.0199203187250996,0.8827214408279338,0.24701195219123506,1,1,0.04763554477741209,1,0.5983757278577997
IS,AT,TRUE,0.180999867706432,0.035856573705179286,0.749325802135056,0.28286852589641437,1,1,0.0616284860557769,1,0.5983757278577997
IS,CZ,TRUE,0.25686095955167104,0.00796812749003984,0.6265477130498169,0.44621513944223107,1,0.43824701195219123,0.036520584329349265,1,0.7669322709163346
IS,FR,TRUE,0.17020718486783742,0.08366533864541832,0.8449406402329434,0.250996015936255,1,1,0.11223399086580507,1,0.5983757278577997
IS,HU,TRUE,0.23782797549755125,0.00398406374501992,1.0348506304954839,0.2549800796812749,1,0.21912350597609562,0.027390438247011952,1,0.5983757278577997
IS,PL,TRUE,0.27493427904998824,0.00398406374501992,1.1353510122313288,0.2749003984063745,1,0.21912350597609562,0.027390438247011952,1,0.5983757278577997
IS,PT,TRUE,0.27493427904998824,0.01195219123505976,1.9175720713234177,0.08366533864541832,1,0.6573705179282868,0.03866885399578158,1,0.36520584329349265
PT,PL,TRUE,0.17029857278717864,0.14741035856573706,0.7822210590920888,0.3665338645418327,1,1,0.17625151567642475,1,0.6792828685258964
SI,AT,TRUE,0.11472066363290367,0.46215139442231074,1.3106200154598984,0.099601593625498,1,1,0.46215139442231074,1,0.36520584329349265
SI,CZ,TRUE,0.13525722302373014,0.20318725099601595,0.06525349972497452,0.9243027888446215,1,1,0.22350597609561756,1,0.9243027888446215
SI,FR,TRUE,0.17514438319494977,0.03187250996015936,1.4062348535577858,0.09163346613545817,1,1,0.05843293492695883,1,0.36520584329349265
SI,HU,TRUE,0.20356187130609638,0.01195219123505976,0.47355641717064145,0.6653386454183267,1,0.6573705179282868,0.03866885399578158,1,0.7760624169986718
SI,IS,TRUE,0.13256800849710007,0.18725099601593626,0.5612942133248424,0.398406374501992,1,1,0.21912350597609562,1,0.7068500192777277
SI,PL,TRUE,0.16545722027270154,0.11155378486055777,0.5740567989064864,0.6414342629482072,1,1,0.1394422310756972,1,0.7760624169986718
SI,PT,TRUE,0.20356187130609638,0.00398406374501992,1.3562778579985753,0.13147410358565736,1,0.21912350597609562,0.027390438247011952,1,0.4519422310756972
