from,to,weight,abs_weight,sign
Confidence policies consider everyone views,Confidence in fair climate-policy outcomes,1.8126300698651552,1.8126300698651552,positive
Concern about ability to pay energy bills,Concern about increased transport costs,1.3738805640628269,1.3738805640628269,positive
Local air-pollution concern,Climate-change worry,1.01961722417692,1.01961722417692,positive
Climate-change worry,Personal responsibility to reduce climate change,1.0179151757414706,1.0179151757414706,positive
Climate-change worry,Worry about local extreme weather,0.860291123566346,0.860291123566346,positive
Trust in government to address climate change,Confidence policies consider everyone views,0.7402336329906412,0.7402336329906412,positive
Concern about ability to pay energy bills,Concern about future job loss,0.6905763586224971,0.6905763586224971,positive
Trust in government to address climate change,Confidence in fair climate-policy outcomes,0.6715991426614034,0.6715991426614034,positive
Trust in government to address climate change,Government preparedness for extreme weather,0.6683895695214832,0.6683895695214832,positive
Climate-change worry,Environment versus economic-growth priority,0.6258656788940165,0.6258656788940165,positive
Worry about local extreme weather,Experienced severe flooding,0.5867621345767471,0.5867621345767471,positive
Government preparedness for extreme weather,Confidence in fair climate-policy outcomes,0.5630327211293324,0.5630327211293324,positive
Concern about increased transport costs,Concern about future job loss,0.5174116939822253,0.5174116939822253,positive
Worry about local extreme weather,Experienced extended extreme heat,0.4545176514849901,0.4545176514849901,positive
Experienced drought,Experienced extended extreme heat,0.44719184165592313,0.44719184165592313,positive
Familiarity with national climate policies,Confidence policies consider everyone views,0.4245508436671856,0.4245508436671856,positive
Experienced severe flooding,Experienced wildfire,0.4199023133037221,0.4199023133037221,positive
Energy-efficient appliance choice,Confidence policies consider everyone views,0.4093857120543661,0.4093857120543661,positive
Climate-change worry,Trust in government to address climate change,0.4020935565278913,0.4020935565278913,positive
Local air-pollution concern,Worry about local extreme weather,0.3976140329080155,0.3976140329080155,positive
Energy-efficient appliance choice,Familiarity with national climate policies,0.39625267561650146,0.39625267561650146,positive
Worry about local extreme weather,Experienced drought,0.3914257338852333,0.3914257338852333,positive
Local air-pollution concern,Concern about ability to pay energy bills,0.3579361026553596,0.3579361026553596,positive
Familiarity with national climate policies,Participated in an environmental-protection organisation,0.3494751639365885,0.3494751639365885,positive
Worry about local extreme weather,Concern about ability to pay energy bills,0.3367217129854333,0.3367217129854333,positive
Environment versus economic-growth priority,Participated in an environmental-protection organisation,0.33244097052767335,0.33244097052767335,positive
Personal responsibility to reduce climate change,Confidence in fair climate-policy outcomes,0.3257798144846835,0.3257798144846835,positive
Energy-efficient appliance choice,Personal responsibility to reduce climate change,0.3240749712181724,0.3240749712181724,positive
Confidence in fair climate-policy outcomes,Concern about future job loss,0.323685171830782,0.323685171830782,positive
Worry about local extreme weather,Concern about future job loss,0.3201781679267963,0.3201781679267963,positive
Experienced wildfire,Concern about future job loss,0.32012975095167656,0.32012975095167656,positive
Worry about local extreme weather,Experienced heavy storm,0.3182725609894601,0.3182725609894601,positive
Personal responsibility to reduce climate change,Government preparedness for extreme weather,0.31686225135382845,0.31686225135382845,positive
Confidence in fair climate-policy outcomes,Concern about increased transport costs,0.2949973995743495,0.2949973995743495,positive
Climate-change worry,Familiarity with national climate policies,0.28751968066471456,0.28751968066471456,positive
Experienced severe flooding,Experienced heavy storm,0.28726317483740893,0.28726317483740893,positive
Worry about local extreme weather,Experienced wildfire,0.2830536523435638,0.2830536523435638,positive
Personal responsibility to reduce climate change,Trust in government to address climate change,0.28144383051838734,0.28144383051838734,positive
Energy-efficient appliance choice,Climate-change worry,0.2787217214985654,0.2787217214985654,positive
Experienced heavy storm,Experienced extended extreme heat,0.27744539263382284,0.27744539263382284,positive
Government preparedness for extreme weather,Familiarity with national climate policies,0.27188696683922997,0.27188696683922997,positive
Local air-pollution concern,Familiarity with national climate policies,0.2604705534823011,0.2604705534823011,positive
Experienced drought,Experienced wildfire,0.2591874142398593,0.2591874142398593,positive
Climate-change worry,Confidence policies consider everyone views,0.25129553933607995,0.25129553933607995,positive
Climate-change worry,Concern about future job loss,0.24902543865706173,0.24902543865706173,positive
Public-transport use,Concern about future job loss,0.23702720217552076,0.23702720217552076,positive
Local air-pollution concern,Energy-efficient appliance choice,0.2312146757739828,0.2312146757739828,positive
