node,Betweenness,Closeness,Strength,ExpectedInfluence
Climate-change worry,77,0.0148539369378203,6.338845288828809,6.338845288828809
Worry about local extreme weather,68,0.01399046927624728,5.327986219511129,5.327986219511129
Confidence policies consider everyone views,9,0.01070223012343332,5.072353202610384,5.072353202610384
Confidence in fair climate-policy outcomes,15,0.01081382015834216,4.994594870812133,4.994594870812133
Concern about ability to pay energy bills,9,0.01076277264581542,4.424756816832384,4.424756816832384
Trust in government to address climate change,18,0.01112365428187638,4.403552529638515,4.403552529638515
Concern about future job loss,11,0.01124777166794761,4.241075185634434,4.241075185634434
Local air-pollution concern,14,0.01284707382595904,4.028532810428622,4.028532810428622
Personal responsibility to reduce climate change,0,0.0125618872420971,3.93406076501992,3.93406076501992
Concern about increased transport costs,5,0.01033969401109869,3.9327464453205065,3.9327464453205065
