variable,transformation,missing_values,affected_n,nonmissing_n,minimum,maximum,from_values,to_value
w6sgq2,missing_values_to_na,"9,99",18,9567,NA,NA,NA,NA
w6sgq6,missing_values_to_na,"9,99",57,9528,NA,NA,NA,NA
w6sgq9,missing_values_to_na,"9,99",81,9504,NA,NA,NA,NA
w6sgq11,missing_values_to_na,"9,99",52,9533,NA,NA,NA,NA
w6sgq12,missing_values_to_na,"9,99",659,8926,NA,NA,NA,NA
w6seq2,missing_values_to_na,"9,99",125,9460,NA,NA,NA,NA
w6sgq13,missing_values_to_na,"9,99",78,9507,NA,NA,NA,NA
w6seq4,missing_values_to_na,"9,99",246,9339,NA,NA,NA,NA
w6sgq14,missing_values_to_na,"9,99",510,9075,NA,NA,NA,NA
w6sgq15,missing_values_to_na,"9,99",116,9469,NA,NA,NA,NA
w6sgq16,missing_values_to_na,"9,99",126,9459,NA,NA,NA,NA
w6sgq17,missing_values_to_na,"9,99",127,9458,NA,NA,NA,NA
w6sgq21,missing_values_to_na,"9,99",212,9373,NA,NA,NA,NA
w6sgq22,missing_values_to_na,"9,99",197,9388,NA,NA,NA,NA
w6sgq23,missing_values_to_na,"9,99",280,9305,NA,NA,NA,NA
w6sgq16,collapse_values,NA,25,9459,NA,NA,5,4
w6sgq17,collapse_values,NA,34,9458,NA,NA,5,4
