node,community
Experienced drought,1
Experienced extended extreme heat,1
Experienced severe flooding,1
Experienced wildfire,1
Worry about local extreme weather,1
Concern about ability to pay energy bills,2
Concern about increased transport costs,2
Confidence in fair climate-policy outcomes,2
Confidence policies consider everyone views,2
Energy-efficient appliance choice,2
Familiarity with national climate policies,2
Government preparedness for extreme weather,2
Personal responsibility to reduce climate change,2
Trust in government to address climate change,2
Climate-change worry,3
Concern about future job loss,3
Environment versus economic-growth priority,3
Local air-pollution concern,3
Participated in an environmental-protection organisation,3
Public-transport use,3
Experienced heavy storm,4
